review_id,product_id,customer_id,rating,review_text,review_date
1,15,92,5,"Works perfectly, very happy.",2022-01-13
2,85,77,5,"Works perfectly, very happy.",2023-12-26
3,90,228,1,Not satisfied with the quality.,2023-01-17
4,3,26,4,Exceeded my expectations.,2024-06-01
5,22,136,4,Great value for money.,2022-11-11
6,125,2,4,"Excellent quality, highly recommend!",2022-11-15
7,121,102,3,Average quality for the price.,2024-02-06
8,110,229,3,"Not bad, could be better.",2023-01-09
9,28,113,5,Exceeded my expectations.,2024-06-18
10,91,192,2,Broke after a week of use.,2024-06-07
11,182,51,1,Doesn't match the description.,2022-08-15
12,11,35,2,Doesn't match the description.,2024-03-19
13,9,42,4,Exceeded my expectations.,2023-02-12
14,31,108,4,Exceeded my expectations.,2024-09-28
15,175,183,5,"Works perfectly, very happy.",2022-09-18
16,129,186,3,Decent product overall.,2024-03-07
17,28,203,2,Not satisfied with the quality.,2022-02-13
18,89,129,2,Broke after a week of use.,2022-01-28
19,174,213,2,Not satisfied with the quality.,2023-12-02
20,189,3,4,Fast delivery and great product.,2024-06-08
21,73,125,4,Exceeded my expectations.,2022-06-19
22,159,40,4,Great value for money.,2024-11-13
23,72,197,2,Broke after a week of use.,2022-08-24
24,171,211,3,Average quality for the price.,2024-05-28
25,181,201,2,"Poor packaging, item was damaged.",2022-07-31
26,47,49,5,Fast delivery and great product.,2022-11-01
27,34,103,2,Not satisfied with the quality.,2022-03-20
28,38,110,3,Average quality for the price.,2022-02-06
29,24,222,5,Great value for money.,2022-04-15
30,135,79,4,"Works perfectly, very happy.",2023-04-19
31,110,123,2,Doesn't match the description.,2022-05-06
32,165,14,5,"Works perfectly, very happy.",2023-09-16
33,94,72,1,Doesn't match the description.,2023-12-20
34,82,230,4,Great value for money.,2022-04-08
35,1,14,2,Not satisfied with the quality.,2023-10-21
36,121,72,2,Doesn't match the description.,2022-07-26
37,65,243,4,Great value for money.,2024-10-03
38,78,29,3,"Not bad, could be better.",2022-07-18
39,85,93,1,Broke after a week of use.,2024-01-11
40,155,96,5,Fast delivery and great product.,2023-05-03
41,150,99,3,Average quality for the price.,2022-06-28
42,162,191,1,Broke after a week of use.,2022-09-04
43,50,181,1,Broke after a week of use.,2024-07-01
44,140,159,1,Not satisfied with the quality.,2023-12-04
45,195,52,3,Decent product overall.,2022-11-11
46,50,108,1,Broke after a week of use.,2023-06-02
47,94,115,5,Exceeded my expectations.,2022-08-29
48,124,108,4,"Excellent quality, highly recommend!",2024-10-28
49,154,71,1,Broke after a week of use.,2022-09-22
50,145,16,3,"It's okay, does the job.",2023-01-25
51,176,137,4,"Works perfectly, very happy.",2022-06-03
52,193,131,2,"Poor packaging, item was damaged.",2024-02-26
53,103,156,5,"Works perfectly, very happy.",2023-07-11
54,1,41,2,Broke after a week of use.,2023-03-23
55,132,117,5,"Excellent quality, highly recommend!",2024-10-28
56,78,219,5,Exceeded my expectations.,2023-03-28
57,142,31,3,"Not bad, could be better.",2022-12-17
58,137,61,2,Not satisfied with the quality.,2023-08-21
59,72,238,1,Broke after a week of use.,2022-09-30
60,165,64,3,"It's okay, does the job.",2023-03-07
61,1,167,5,"Excellent quality, highly recommend!",2023-12-13
62,84,22,5,Exceeded my expectations.,2023-06-25
63,157,76,2,"Poor packaging, item was damaged.",2023-10-27
64,92,57,1,Not satisfied with the quality.,2023-07-27
65,5,138,2,Doesn't match the description.,2022-08-06
66,161,163,4,Exceeded my expectations.,2023-02-27
67,84,69,4,Great value for money.,2023-02-22
68,40,115,5,"Works perfectly, very happy.",2023-04-20
69,38,231,4,Exceeded my expectations.,2024-09-08
70,47,118,1,"Poor packaging, item was damaged.",2023-01-14
71,146,126,2,Broke after a week of use.,2023-01-05
72,80,42,3,"It's okay, does the job.",2022-12-30
73,49,18,4,Fast delivery and great product.,2022-10-21
74,63,117,1,"Poor packaging, item was damaged.",2024-04-04
75,187,193,1,Broke after a week of use.,2022-01-25
76,97,99,5,"Excellent quality, highly recommend!",2022-02-12
77,196,213,1,Not satisfied with the quality.,2022-03-31
78,198,22,2,Broke after a week of use.,2023-07-03
79,3,246,2,Not satisfied with the quality.,2022-08-06
80,182,22,5,Exceeded my expectations.,2023-02-19
81,195,145,2,"Poor packaging, item was damaged.",2024-06-28
82,85,123,2,Doesn't match the description.,2022-11-13
83,140,178,2,Not satisfied with the quality.,2023-07-02
84,6,212,5,"Excellent quality, highly recommend!",2022-04-02
85,27,131,1,Doesn't match the description.,2024-04-30
86,58,7,2,Not satisfied with the quality.,2023-04-10
87,38,91,4,"Works perfectly, very happy.",2023-08-11
88,176,227,2,"Poor packaging, item was damaged.",2022-08-19
89,29,58,4,Great value for money.,2022-07-28
90,20,158,3,"Not bad, could be better.",2023-11-15
91,22,230,1,Doesn't match the description.,2022-03-30
92,46,110,5,Great value for money.,2023-11-17
93,174,109,5,Great value for money.,2022-11-04
94,90,225,3,"Not bad, could be better.",2022-08-01
95,170,95,3,Decent product overall.,2023-06-28
96,39,200,1,Not satisfied with the quality.,2022-10-28
97,100,115,3,Average quality for the price.,2024-09-06
98,148,110,1,Not satisfied with the quality.,2023-07-25
99,83,33,2,Not satisfied with the quality.,2023-01-08
100,82,127,4,Exceeded my expectations.,2024-05-18
101,155,204,4,"Works perfectly, very happy.",2023-11-14
102,99,108,2,Broke after a week of use.,2024-10-15
103,127,137,5,Fast delivery and great product.,2023-04-17
104,149,184,4,"Excellent quality, highly recommend!",2024-05-13
105,199,178,5,Fast delivery and great product.,2023-03-26
106,93,1,1,Broke after a week of use.,2023-02-21
107,143,122,1,Doesn't match the description.,2022-10-01
108,90,93,1,Not satisfied with the quality.,2022-10-13
109,37,214,3,Decent product overall.,2024-05-12
110,58,15,2,Broke after a week of use.,2022-10-10
111,97,188,1,Broke after a week of use.,2022-02-23
112,14,180,4,Exceeded my expectations.,2022-08-06
113,123,215,5,"Excellent quality, highly recommend!",2022-11-20
114,94,37,1,Broke after a week of use.,2022-06-11
115,4,146,2,Not satisfied with the quality.,2024-05-02
116,121,191,2,Broke after a week of use.,2022-10-14
117,121,106,5,Exceeded my expectations.,2023-11-22
118,74,29,4,"Excellent quality, highly recommend!",2022-11-16
119,155,193,1,Not satisfied with the quality.,2022-12-22
120,3,102,5,Great value for money.,2024-05-17
121,183,213,4,Fast delivery and great product.,2023-06-13
122,79,182,5,Fast delivery and great product.,2023-04-11
123,70,250,4,Great value for money.,2022-07-08
124,33,191,5,"Works perfectly, very happy.",2023-03-10
125,15,57,4,Fast delivery and great product.,2024-03-14
126,178,120,2,Not satisfied with the quality.,2024-09-04
127,98,43,3,Decent product overall.,2022-04-22
128,50,70,3,Decent product overall.,2022-08-11
129,93,155,1,Not satisfied with the quality.,2023-11-19
130,73,42,1,Broke after a week of use.,2022-08-07
131,153,3,1,Broke after a week of use.,2023-09-26
132,164,238,2,Broke after a week of use.,2022-03-08
133,22,146,2,Doesn't match the description.,2022-04-02
134,12,13,5,"Works perfectly, very happy.",2023-10-07
135,3,92,1,Doesn't match the description.,2023-08-02
136,50,81,4,Fast delivery and great product.,2024-03-11
137,180,173,3,Average quality for the price.,2022-07-19
138,190,129,3,Decent product overall.,2022-07-26
139,7,151,5,Great value for money.,2024-02-22
140,10,75,4,Fast delivery and great product.,2022-11-27
141,21,227,2,"Poor packaging, item was damaged.",2022-07-11
142,175,168,2,Broke after a week of use.,2022-10-16
143,115,202,2,Doesn't match the description.,2022-09-26
144,93,160,3,"Not bad, could be better.",2024-06-01
145,62,54,1,"Poor packaging, item was damaged.",2022-06-03
146,25,207,2,"Poor packaging, item was damaged.",2022-01-31
147,141,223,2,Doesn't match the description.,2022-06-28
148,117,81,4,"Excellent quality, highly recommend!",2022-12-14
149,18,72,3,Average quality for the price.,2024-01-15
150,19,46,3,"It's okay, does the job.",2024-08-01
151,66,196,3,Decent product overall.,2024-06-24
152,146,125,2,Not satisfied with the quality.,2022-03-23
153,103,105,3,"Not bad, could be better.",2022-09-22
154,132,217,4,Exceeded my expectations.,2023-10-05
155,175,106,3,"It's okay, does the job.",2024-11-02
156,175,11,4,Exceeded my expectations.,2022-04-27
157,40,219,2,Not satisfied with the quality.,2022-08-04
158,41,146,3,Decent product overall.,2024-03-28
159,100,224,1,Broke after a week of use.,2024-08-04
160,120,120,1,Doesn't match the description.,2024-08-10
161,47,188,1,Not satisfied with the quality.,2022-08-10
162,52,103,4,"Works perfectly, very happy.",2023-11-05
163,88,155,1,Doesn't match the description.,2024-09-22
164,30,72,2,"Poor packaging, item was damaged.",2024-07-19
165,121,38,1,Broke after a week of use.,2023-03-14
166,154,199,3,"It's okay, does the job.",2024-02-18
167,111,122,1,Doesn't match the description.,2023-03-14
168,6,244,1,Broke after a week of use.,2024-05-16
169,163,46,3,"Not bad, could be better.",2022-06-21
170,71,104,2,Not satisfied with the quality.,2022-06-17
171,108,135,3,Decent product overall.,2023-03-15
172,14,24,3,Average quality for the price.,2024-05-27
173,43,51,3,"Not bad, could be better.",2023-12-17
174,122,138,4,"Works perfectly, very happy.",2022-11-26
175,178,147,4,Exceeded my expectations.,2024-03-07
176,20,186,1,Broke after a week of use.,2022-10-24
177,4,39,3,"Not bad, could be better.",2024-07-28
178,82,30,2,"Poor packaging, item was damaged.",2024-04-12
179,116,242,3,"It's okay, does the job.",2022-09-15
180,25,10,4,Fast delivery and great product.,2023-03-24
181,179,140,2,"Poor packaging, item was damaged.",2022-12-07
182,56,90,5,"Works perfectly, very happy.",2023-03-06
183,95,209,2,Not satisfied with the quality.,2024-01-16
184,79,129,1,Doesn't match the description.,2022-09-13
185,106,106,4,"Works perfectly, very happy.",2023-12-22
186,134,250,3,Decent product overall.,2023-11-19
187,118,110,1,Broke after a week of use.,2024-02-04
188,139,112,2,Broke after a week of use.,2024-02-21
189,163,73,3,Decent product overall.,2022-07-23
190,23,167,1,Not satisfied with the quality.,2022-02-03
191,27,128,5,"Works perfectly, very happy.",2022-07-24
192,149,207,4,Fast delivery and great product.,2022-03-08
193,55,58,3,Decent product overall.,2024-07-20
194,30,51,5,"Works perfectly, very happy.",2024-08-19
195,119,106,1,Doesn't match the description.,2024-03-21
196,58,130,1,Doesn't match the description.,2023-08-04
197,79,215,3,"Not bad, could be better.",2024-04-29
198,107,9,2,Not satisfied with the quality.,2022-02-01
199,96,216,1,Broke after a week of use.,2023-10-13
200,147,111,3,Average quality for the price.,2023-05-11
201,50,158,5,"Works perfectly, very happy.",2024-03-16
202,33,241,1,"Poor packaging, item was damaged.",2024-03-10
203,82,133,2,"Poor packaging, item was damaged.",2022-11-21
204,26,182,4,Great value for money.,2022-09-16
205,162,148,5,"Excellent quality, highly recommend!",2024-03-13
206,83,53,3,Average quality for the price.,2022-07-10
207,112,3,1,Not satisfied with the quality.,2022-11-10
208,147,98,1,Not satisfied with the quality.,2022-02-21
209,163,162,2,"Poor packaging, item was damaged.",2024-01-04
210,168,230,2,Broke after a week of use.,2023-03-31
211,138,216,3,Average quality for the price.,2023-05-18
212,169,14,4,Exceeded my expectations.,2023-07-18
213,161,6,1,Broke after a week of use.,2022-07-31
214,153,32,1,"Poor packaging, item was damaged.",2022-08-08
215,68,230,2,Doesn't match the description.,2023-01-05
216,127,217,1,Not satisfied with the quality.,2024-01-11
217,26,126,2,"Poor packaging, item was damaged.",2022-02-14
218,125,246,4,"Excellent quality, highly recommend!",2022-06-06
219,97,228,2,"Poor packaging, item was damaged.",2023-10-05
220,47,77,4,Great value for money.,2022-01-21
221,31,250,2,Not satisfied with the quality.,2023-12-04
222,158,154,3,Decent product overall.,2022-01-11
223,32,50,2,Doesn't match the description.,2022-03-02
224,133,132,5,"Excellent quality, highly recommend!",2022-11-09
225,30,231,2,Doesn't match the description.,2023-03-21
226,36,57,1,Doesn't match the description.,2022-06-20
227,71,124,2,Doesn't match the description.,2023-02-13
228,182,142,1,Doesn't match the description.,2023-08-26
229,112,132,4,"Works perfectly, very happy.",2024-03-30
230,45,51,2,Doesn't match the description.,2023-07-30
231,150,204,4,"Excellent quality, highly recommend!",2023-10-01
232,185,125,2,Broke after a week of use.,2024-06-06
233,153,192,4,"Works perfectly, very happy.",2023-07-11
234,156,99,3,"It's okay, does the job.",2024-05-29
235,96,230,2,Doesn't match the description.,2022-05-12
236,9,246,4,Great value for money.,2024-11-13
237,76,155,3,Decent product overall.,2023-12-23
238,30,47,4,"Excellent quality, highly recommend!",2023-10-23
239,92,63,4,Great value for money.,2022-05-29
240,96,38,2,Doesn't match the description.,2023-10-06
241,82,177,1,Not satisfied with the quality.,2022-01-23
242,120,146,3,Average quality for the price.,2023-10-21
243,99,73,2,Not satisfied with the quality.,2023-03-11
244,27,144,5,Great value for money.,2023-07-24
245,147,229,5,"Excellent quality, highly recommend!",2024-05-13
246,82,51,4,Exceeded my expectations.,2023-02-08
247,128,12,1,"Poor packaging, item was damaged.",2023-07-17
248,32,116,4,"Excellent quality, highly recommend!",2022-12-17
249,152,99,5,Exceeded my expectations.,2023-04-30
250,73,5,5,"Excellent quality, highly recommend!",2022-01-10
251,34,216,4,Exceeded my expectations.,2024-04-04
252,87,166,1,Not satisfied with the quality.,2022-02-03
253,25,213,1,"Poor packaging, item was damaged.",2024-04-30
254,82,193,3,"Not bad, could be better.",2023-12-10
255,143,199,4,"Excellent quality, highly recommend!",2023-10-04
256,13,101,4,Fast delivery and great product.,2023-09-04
257,165,248,4,"Works perfectly, very happy.",2022-09-06
258,8,58,3,"It's okay, does the job.",2022-04-08
259,27,83,1,Broke after a week of use.,2024-06-11
260,23,49,2,Broke after a week of use.,2024-01-26
261,177,223,5,"Excellent quality, highly recommend!",2022-04-18
262,29,13,3,"It's okay, does the job.",2023-09-16
263,85,177,1,Doesn't match the description.,2024-02-17
264,36,150,3,Average quality for the price.,2024-08-01
265,82,221,1,Broke after a week of use.,2022-10-31
266,164,115,5,"Works perfectly, very happy.",2022-09-08
267,62,148,5,Fast delivery and great product.,2024-09-05
268,83,198,4,Exceeded my expectations.,2024-09-15
269,68,197,2,Not satisfied with the quality.,2023-08-30
270,143,214,1,Doesn't match the description.,2023-05-12
271,20,249,2,Not satisfied with the quality.,2024-10-09
272,4,172,1,Broke after a week of use.,2023-03-19
273,49,125,4,"Works perfectly, very happy.",2022-08-03
274,152,195,3,Average quality for the price.,2023-10-04
275,168,40,3,Decent product overall.,2024-10-30
276,57,235,1,Broke after a week of use.,2024-01-15
277,159,132,4,"Works perfectly, very happy.",2023-02-20
278,18,72,4,Great value for money.,2024-05-16
279,148,166,2,Doesn't match the description.,2022-07-29
280,28,191,2,"Poor packaging, item was damaged.",2022-08-14
281,118,48,2,Not satisfied with the quality.,2023-07-01
282,170,136,1,"Poor packaging, item was damaged.",2024-07-16
283,31,238,3,"Not bad, could be better.",2022-06-22
284,55,39,3,Decent product overall.,2024-03-23
285,131,86,5,"Works perfectly, very happy.",2022-04-19
286,95,26,4,Exceeded my expectations.,2022-04-11
287,50,76,4,"Works perfectly, very happy.",2023-01-23
288,153,71,4,Great value for money.,2024-10-07
289,28,175,5,"Works perfectly, very happy.",2022-04-13
290,57,30,2,Not satisfied with the quality.,2022-04-19
291,62,17,1,Doesn't match the description.,2022-07-26
292,159,180,3,Average quality for the price.,2024-04-08
293,26,57,4,"Works perfectly, very happy.",2023-07-04
294,44,202,4,Great value for money.,2023-02-21
295,181,153,3,"Not bad, could be better.",2023-08-13
296,48,129,1,Not satisfied with the quality.,2024-09-03
297,44,81,3,Average quality for the price.,2022-05-23
298,86,231,2,Broke after a week of use.,2024-07-21
299,171,122,2,Not satisfied with the quality.,2024-05-26
300,46,250,3,"It's okay, does the job.",2023-06-25
301,174,195,1,Broke after a week of use.,2022-01-20
302,122,150,5,Exceeded my expectations.,2022-01-03
303,121,29,4,Great value for money.,2022-04-03
304,59,135,1,Doesn't match the description.,2024-10-27
305,199,25,2,Broke after a week of use.,2022-07-24
306,116,126,3,"Not bad, could be better.",2023-12-20
307,170,125,5,Exceeded my expectations.,2023-06-04
308,4,212,3,Decent product overall.,2023-12-24
309,133,199,3,"Not bad, could be better.",2024-09-18
310,176,133,1,Doesn't match the description.,2022-02-12
311,57,169,2,"Poor packaging, item was damaged.",2022-10-18
312,8,63,3,Decent product overall.,2024-06-01
313,191,23,3,Average quality for the price.,2023-02-01
314,71,225,4,"Excellent quality, highly recommend!",2024-07-09
315,68,234,5,Great value for money.,2023-12-16
316,151,107,3,Decent product overall.,2023-07-20
317,11,149,3,Average quality for the price.,2023-12-05
318,111,204,5,"Excellent quality, highly recommend!",2024-07-20
319,74,29,5,Exceeded my expectations.,2022-01-18
320,120,175,4,Great value for money.,2022-11-04
321,160,143,5,Exceeded my expectations.,2022-11-30
322,74,17,3,Decent product overall.,2023-08-27
323,11,56,1,"Poor packaging, item was damaged.",2023-08-03
324,14,126,5,"Excellent quality, highly recommend!",2023-09-19
325,91,170,1,"Poor packaging, item was damaged.",2022-01-02
326,36,90,1,Doesn't match the description.,2023-08-04
327,40,245,5,Fast delivery and great product.,2022-06-26
328,188,51,3,Average quality for the price.,2024-06-03
329,75,57,5,"Excellent quality, highly recommend!",2022-03-07
330,64,208,4,Exceeded my expectations.,2024-03-02
331,26,229,4,"Works perfectly, very happy.",2023-06-20
332,45,145,3,"Not bad, could be better.",2024-06-11
333,175,197,3,Average quality for the price.,2023-02-13
334,107,142,3,Average quality for the price.,2023-02-13
335,22,77,3,"Not bad, could be better.",2024-08-02
336,97,201,5,Great value for money.,2024-06-13
337,135,114,1,Broke after a week of use.,2023-10-04
338,120,91,5,Exceeded my expectations.,2024-05-25
339,106,119,4,"Works perfectly, very happy.",2022-02-26
340,197,108,5,"Excellent quality, highly recommend!",2022-07-01
341,63,149,2,Doesn't match the description.,2024-11-14
342,159,140,3,Average quality for the price.,2023-08-24
343,33,104,1,"Poor packaging, item was damaged.",2022-01-13
344,118,215,4,Fast delivery and great product.,2022-04-22
345,70,213,1,Not satisfied with the quality.,2022-08-08
346,75,145,3,"It's okay, does the job.",2024-09-13
347,32,190,3,"It's okay, does the job.",2024-11-12
348,133,37,1,Broke after a week of use.,2024-10-11
349,173,164,2,Broke after a week of use.,2022-11-13
350,185,240,3,"Not bad, could be better.",2022-01-14
